grantee,grantee_url,description,Award Date,Amount,Term,Program
University of Massachusetts,http://www.donahue.umassp.edu,To continue to refine the Massachusetts Association of School Superintendents' New Superintendents' Induction Program.,11/21/2017,"$200,000",18 months,Education
"USGBC Massachusetts Chapter, Inc.",http://www.usgbcma.org,To support analysis and education on the costs and benefits of green buildings.,11/21/2017,"$50,000",12 months,Climate
Advanced Energy Economy Institute,https://www.aeeinstitute.org,To support New England utility commissioners attending a national forum on grid modernization.,10/31/2017,"$10,000",6 months,Memberships & Sponsorships
"Berklee College of Music, Inc.",http://www.berklee.edu,To support planning for the creation of the Music + Health Institute.,10/31/2017,"$300,000",18 months,Arts & Creativity
"Boston After School & Beyond, Inc.",http://www.bostonbeyond.org,To support general operations and enhance the ACT Skills Framework.,10/31/2017,"$200,000",12 months,Education
Central Falls School District,http://www.cfschools.net,To support the planning and design of Central Falls High School.,10/31/2017,"$300,000",18 months,Education
Community Foundation of Western Massachusetts,http://communityfoundation.org,To design and deliver a 20-month knowledge-building program customized to the needs of the five community foundations in Barr's Creative Commonwealth Initiative.,10/31/2017,"$300,000",24 months,Arts & Creativity
"Conservation Law Foundation, Inc.",http://www.clf.org,"To support research, analysis, and advocacy on energy efficiency programs in New England.",10/31/2017,"$200,000",15 months,Climate
E4TheFuture,http://www.e4thefuture.org,To support the development phase of a replicable community microgrid project in Worcester.,10/31/2017,"$100,000",24 months,Climate
"Rose Fitzgerald Kennedy Greenway Conservancy, Inc.",http://www.rosekennedygreenway.org,To complete a five-year business plan.,10/31/2017,"$125,000",12 months,Arts & Creativity
"Boston Community Capital, Inc.",http://www.bostoncommunitycapital.org,To support a process evaluation of the Working Cities Challenge's sustainability intervention.,9/27/2017,"$50,000",15 months,Sector Effectiveness
"Boston Educational Development Foundation, Inc.",http://bostonpublicschools.org,To support the redesign process for TechBoston Academy as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",24 months,Education
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,To support the redesign process for Somerville High School as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",23 months,Education
City of Providence,https://www.providenceri.com/,"To leverage clean energy to drive equitable economic development in Providence, Rhode Island.",9/27/2017,"$270,000",24 months,Climate
Clean Water Fund,http://www.cleanwaterfund.org,To support organizing and policy education to ensure that Massachusetts and Connecticut reach their clean energy goals.,9/27/2017,"$400,000",24 months,Climate
"Environmental League of Massachusetts, Inc.",http://www.environmentalleague.org,To provide general operating support.,9/27/2017,"$350,000",24 months,Climate
"Great Schools Partnership, Inc.",http://www.greatschoolspartnership.org,"To support the redesign process for Blackstone Academy Charter School, Nokomis Regional High School, and North Country Union High School as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.",9/27/2017,"$860,000",22 months,Education
"Manchester Boys Club, Inc.",http://www.mbgcnh.org/,To support the redesign process for Manchester West High School in New Hampshire as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",21 months,Education
Manchester Public Schools,http://www.mpspride.org/,To support the redesign process for Manchester High School in Connecticut as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",24 months,Education
"Massachusetts Taxpayers Foundation, Inc.",http://www.masstaxpayers.org,To support capacity building in technology and business development.,9/27/2017,"$300,000",36 months,Sector Effectiveness
"National Arts Strategies, Inc.",http://www.artstrategies.org,To develop and pilot a nine-month Creative Community Fellows Program for New England.,9/27/2017,"$300,000",12 months,Arts & Creativity
Neighborhood House Charter School,http://www.thenhcs.org,To support Neighborhood House Charter School high school expansion.,9/27/2017,"$500,000",24 months,Education
"New Haven Ecology Project, Inc.",http://www.commongroundct.org/,To support the redesign of Common Ground High School as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",22 months,Education
"Providence After School Alliance, Inc.",http://www.mypasa.org/,To support the redesign process for 360 High School and Juanita Sanchez Educational Complex as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$300,000",18 months,Education
Smart Growth America,http://www.smartgrowthamerica.org,"To inform transportation and smart growth policy at national, state, and local levels in order to build neighborhoods that are more economically, socially and environmentally sustainable.",9/27/2017,"$1,100,000",24 months,Climate
Smart Growth America,http://www.smartgrowthamerica.org,To support the State Smart Transportation Initiative.,9/27/2017,"$500,000",24 months,Climate
SRI International,http://www.sri.com,To conduct the phase one evaluation of the Education Program_s Engage New England initiative.,9/27/2017,"$3,000,000",36 months,Education
"Strategies for Children, Inc.",http://www.strategiesforchildren.org,To support general operations.,9/27/2017,"$400,000",36 months,Education
"The Lawrence and Lillian Solomon Foundation, Inc.",http://www.solomonfoundation.org,To support a re-granting and technical assistance program for greenways and placemaking in Greater Boston,9/27/2017,"$400,000",12 months,Climate
Tides Foundation,https://www.tides.org/,"To produce short videos on climate change solutions in support of Years of Living Dangerously, a television and internet project dedicated to climate action.",9/27/2017,"$450,000",36 months,Climate
"Union of Concerned Scientists, Inc.",http://www.ucsusa.org,"To support analysis, outreach, and policy education on climate change impacts.",9/27/2017,"$600,000",24 months,Climate
Winooski School District,http://www.wsdschools.org/,To support the redesign process for Winooski Middle High School as part of the Education Program's regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem.,9/27/2017,"$225,000",18 months,Education
"Worcester Center for Performing Arts, Inc.",http://thehanovertheatre.org/,To activate the Worcester Theatre District.,9/27/2017,"$750,000",24 months,Arts & Creativity
"Arts Boston, Inc.",http://www.artsboston.org,To complete a comprehensive three-year strategic and financial plan.,9/26/2017,"$75,000",12 months,Arts & Creativity
ClimateWorks Foundation,http://www.climateworks.org,"To support new mobility learning, research, and convenings.",9/26/2017,"$150,000",12 months,Climate
Forum of Regional Associations of Grantmakers,https://www.unitedphilforum.org,To sponsor the Forum's 2018 national conference in Boston any tickets associated with this event will be donated back to the organization.,9/26/2017,"$25,000",12 months,Memberships & Sponsorships
"GuideStar USA, Inc.",http://www.guidestar.org,To provide core support.,9/26/2017,"$125,000",12 months,Sector Effectiveness
Home Energy Efficiency Team,http://www.heetma.org,To support HEET's Seeking Solutions to Reduce Methane Emissions conference.,9/26/2017,"$5,000",1 months,Memberships & Sponsorships
"Massachusetts Environmental Education Society, Inc.",http://www.massmees.org,To support the EBC & Sustainable Solutions Lab at UMass Boston Climate Adaptation Quarterly Forum.,9/26/2017,"$2,000",12 months,Memberships & Sponsorships
"Massachusetts Museum of Contemporary Art Foundation, Inc.",http://massmoca.org,"To increase MASS MoCA's Assets for Artists program's capacity to respond to needs of artists by shoring up existing funding, expanding its services, and testing new revenue streams.",9/26/2017,"$300,000",15 months,Arts & Creativity
Merck Family Fund,http://merckff.org,To support research and objective analysis to strengthen the Regional Greenhouse Gas Initiative.,9/26/2017,"$200,000",24 months,Climate
"Mid-Atlantic Network of Youth & Family Services, Inc.",http://www.manynet.org/,"To facilitate a professional learning community, The Learning Agenda, for the Wider Learning Ecosystem grantees.",9/26/2017,"$300,000",18 months,Education
"The Marion Institute, Inc.",http://www.marioninstitute.org,To support community engagement and technical analysis for Bus Rapid Transit pilots.,9/26/2017,"$300,000",9 months,Climate
"Third Sector New England, Inc.",http://www.tsne.org,"To support analysis, documentation, and presentation of ""Race to Lead: Massachusetts Nonprofits and the Racial Leadership Gap.""",9/26/2017,"$30,000",6 months,Sector Effectiveness
Triangle Strategic and Financial Advising for Not-for-Profits,,To support the planning and design of Kreiva Academy Public Charter School.,9/26/2017,"$150,000",12 months,Education
Vermont Energy Investment Corporation,http://www.veic.org,To support a zero net energy modular home demonstration project and disseminating the results in Massachusetts.,9/26/2017,"$30,000",12 months,Climate
"Irish International Immigrant Center, Inc.",http://www.iicenter.org,To support legal and wellness services.,9/25/2017,"$75,000",36 months,Special Initiatives
Trustees of Reservations,http://www.thetrustees.org,To support strategic outreach and communications counsel for Trustees' work on the Boston waterfront.,9/25/2017,"$150,000",4 months,Special Initiatives
"GreenRoots, Inc.",http://www.greenrootschelsea.org,To support community engagement in East Boston for waterfront and public realm improvements.,9/17/2017,"$45,000",14 months,Special Initiatives
"Boston Chinatown Neighborhood Center, Inc.",http://bcnc.net,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Arts & Creativity
"Businesses United in Investing, Lending and Development",,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
City of Boston,http://www.cityofboston.gov,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Community Labor United, Inc.",http://massclu.org,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Community Servings, Inc.",,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Epiphany School, Inc.",http://www.ephiphanyschool.com,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
Louis D. Brown Peace Institute,http://www.ldbpeaceinstitute.org/,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Margarita Muñiz Academy Foundation, Inc.",http://www.munizacademy.org,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"MAS Boston Society, Inc.",http://isbcc.org/mas-boston,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Phoenix Charter Academy Foundation, Inc.",http://www.phoenixcharteracademy.org,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Silver Lining Mentoring, Inc.",,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"The Mass Mentoring Partnership, Inc.",http://www.massmentors.org,To support participation in the Barr Fellowship Class of 2017.,9/12/2017,"$100,000",24 months,Sector Effectiveness
"Education Reform Now, Inc.",https://edreformnow.org/,"To provide sponsorship support for the 2017 Massachusetts Parents United Convention on August 26, 2017.",8/23/2017,"$1,000",1 months,Memberships & Sponsorships
"Dudley Street Neighborhood Initiative, Inc.",http://www.dsni.org,To support strategic planning.,8/18/2017,"$75,000",12 months,Sector Effectiveness
"Clean Energy Group, Inc.",https://www.cleanegroup.org/,To provide additional support for communications efforts related to energy storage deployment in Massachusetts.,8/17/2017,"$25,000",19 months,Climate
PolicyLink,http://www.policylink.org,To support its 2018 Equity Summit and the attendance of a Massachusetts delegation.,8/17/2017,"$100,000",12 months,Climate
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To research local accountability policy and practice to support education innovation.,8/17/2017,"$100,000",9 months,Education
"Third Sector New England, Inc.",http://www.tsne.org,To conduct and evaluate the Emerging Consultants Training program.,8/17/2017,"$75,000",34 months,Sector Effectiveness
"University of Massachusetts Foundation, Inc.",https://www.umassp.edu/foundation,To provide technical assistance for the Sustainable Solutions Lab.,8/17/2017,"$75,000",12 months,Climate
"A Better City Initiative, Inc.",http://www.abettercity.org,To sponsor the 2017 Norman B. Leventhal Excellence in City Building Awards.,8/ 1/2017,"$2,500",12 months,Memberships & Sponsorships
"Community Labor United, Inc.",http://massclu.org,To support transit justice advocacy.,8/ 1/2017,"$100,000",9 months,Climate
National Caucus of Environmental Legislators,http://ncel.net,To support the 2017 National Issues Forum.,8/ 1/2017,"$15,000",1 months,Memberships & Sponsorships
The Trust for Public Land,http://www.tpl.org,To support green infrastructure in the Metro Mayors_ Coalition region.,8/ 1/2017,"$290,000",24 months,Climate
Massachusetts Legal Assistance Corporation,http://mlac.org,"To support the Greater Boston collaborative fund in support of immigrant and refugee communities through legal assistance, community outreach, and network infrastructure.",7/13/2017,"$200,000",24 months,Special Initiatives
WGBH Educational Foundation,http://wgbh.org,To expand investigative reporting capacity.,6/28/2017,"$300,000",36 months,Special Initiatives
"Association of Black Foundation Executives, Inc.",http://www.abfe.org/,"To support the Unity Summit in New Orleans on September 18-22, 2017.",6/21/2017,"$10,000",12 months,Memberships & Sponsorships
"Ceres, Inc.",http://ceres.org,To support An Evening with Ceres programming.,6/21/2017,"$10,000",12 months,Memberships & Sponsorships
EDUCAUSE,http://educause.edu,To support MyWays development Phase II.,6/21/2017,"$300,000",12 months,Education
Grantmakers for Education,http://www.edfunders.org,Barr Foundation membership dues.,6/21/2017,"$7,500",12 months,Memberships & Sponsorships
"Inquilinos Boricuas en Accion, Inc.",http://www.iba-etc.org,To support the Amplifying Latino Power and Impact (ALPI) Initiative.,6/21/2017,"$25,000",12 months,Sector Effectiveness
"Neighborhood Development Associates, Inc.",http://ndainc.org/,"To support the installation, marketing, and documentation of the 2017 [Beyond Walls] (www.beyond-walls.org) public art project in Lynn, and planning for 2018 and for strategic planning",6/21/2017,"$200,000",6 months,Arts & Creativity
"United Way of Central Massachusetts, Inc.",http://www.unitedwaycm.org/,To support Worcester Public Schools strategic planning efforts.,6/21/2017,"$50,000",9 months,Education
"Conservation Law Foundation, Inc.",http://www.clf.org,To advance waterfront advocacy efforts and to plan for a multi-year waterfront campaign.,6/17/2017,"$300,000",9 months,Special Initiatives
"Alternatives for Community and Environment, Inc.",http://www.ace-ej.org,To support the Green Justice Coalition’s Boston and statewide clean energy efforts.,6/14/2017,"$100,000",12 months,Climate
"Boston Day and Evening Academy Foundation, Inc.",http://www.bacademy.org,To support the refinement and expansion of the current school model as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
"Boston Schools Fund, Inc.",http://www.bostonschoolsfund.org,To support the development and implementation of the Boston School Finder Family Information Tool.,6/14/2017,"$300,000",12 months,Education
"Brooke School Foundation, Inc.",http://www.ebrooke.org,To support the Brooke High School permanent facility.,6/14/2017,"$500,000",12 months,Education
Capitol Region Education Council,http://www.crec.org,To support the new school development of Personalized Success Academy as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
Chelsea Public Schools,http://www.chelseaschools.com,To support the new school development of Chelsea Opportunity Academy as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
Commonwealth of Massachusetts Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care,To support the Department’s data capacity.,6/14/2017,"$150,000",24 months,Education
"Community Labor United, Inc.",http://massclu.org,To support the Green Justice Coalition’s Boston and statewide clean energy efforts.,6/14/2017,"$400,000",24 months,Climate
"Domus Kids, Inc.",http://www.domuskids.org,To support the redesign of Stamford Academy as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
"EdNavigator, Inc.",http://www.ednavigator.com,To support the EdNavigator expansion to Boston.,6/14/2017,"$500,000",24 months,Education
"English for New Bostonians, Inc.",http://www.englishfornewbostonians.org,To support the ESOL for Parents and Caregivers program and to support organizational capacity.,6/14/2017,"$225,000",24 months,Education
"Environmental Defense Fund, Inc.",http://www.edf.org,To support the Alliance to Curb Climate Change in key Northeast states.,6/14/2017,"$400,000",24 months,Climate
"Generation Teach, Inc.",http://www.generationteach.org,To support the 2017 Boston Summer Teaching Fellowships.,6/14/2017,"$100,000",12 months,Education
Holyoke Public Schools,http://www.hps.holyoke.ma.us,To support the continuation of Holyoke Public Schools’ high school redesign process.,6/14/2017,"$600,000",12 months,Education
Institute for Transportation and Development Policy,http://www.itdp.org,To galvanize implementation of Bus Rapid Transit (BRT) in Massachusetts.,6/14/2017,"$710,000",24 months,Climate
Maine School Administrative District # 60,http://www.msad60.org,To support the redesign and expansion of Noble High School's Multiple Pathways Program as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
"Map Education, Inc.",http://www.themapacademy.org,To support the refinement and planning for the launch of Map Academy as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$350,000",12 months,Education
"Neighbor to Neighbor Massachusetts Education Fund, Inc.",http://www.n2nma.org,To strengthen grassroots organizing capacity to support the Green Justice Coalition’s statewide clean energy efforts.,6/14/2017,"$200,000",24 months,Climate
"Partnership Project, Inc.",http://saveourenvironment.org,To support communications and organizing for climate action.,6/14/2017,"$550,000",12 months,Climate
"Phoenix Charter Academy Foundation, Inc.",http://www.phoenixcharteracademy.org,To support the refinement of the school model for Phoenix Charter Academy Chelsea as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
Rennie Center for Education Research & Policy,http://www.renniecenter.org,To support an evidence-based education policy and research agenda for Massachusetts.,6/14/2017,"$300,000",36 months,Education
Revere Public Schools,http://www.revereps.mec.edu,To support the redesign of the school model for SeaCoast High School as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
"Rockefeller Philanthropy Advisors, Inc.",http://www.rockpa.org,To provide core support for the Fund for Shared Insight.,6/14/2017,"$750,000",36 months,Sector Effectiveness
Teachers College Columbia University,http://www.tc.columbia.edu,"To support the Hechinger Report series “Pathways to the Middle Class,” journalism on secondary schools that promote college, career, and workforce readiness.",6/14/2017,"$400,000",24 months,Education
The Nature Conservancy,http://www.nature.org,To support the Alliance to Curb Climate Change in key Northeast states.,6/14/2017,"$400,000",24 months,Climate
"Tree Street Youth, Inc.",http://www.treestreetyouth.org,To support the design of a new school in Lewiston Public Schools as part of the Education Program's Engage New England: doing high school differently initiative.,6/14/2017,"$150,000",12 months,Education
Vote Solar,http://www.votesolar.org,To sustain and expand New England’s solar leadership.,6/14/2017,"$200,000",24 months,Climate
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation membership dues for Boston Education Funders,5/22/2017,"$2,500",12 months,Memberships & Sponsorships
EDUCAUSE,http://educause.edu,To support the planning phase of the NGLX Massachusetts Incubator.,5/22/2017,"$300,000",7 months,Education
Equity Lab Charter Schools Inc.,http://www.equitylab.org,To support Equity Lab Charter School_s Commonwealth charter school application process.,5/22/2017,"$100,000",12 months,Education
Grantmakers in the Arts,http://www.giarts.org,Barr Foundation membership dues.,5/22/2017,"$25,000",12 months,Memberships & Sponsorships
"Massachusetts Charter Public School Association, Inc.",http://www.masscharterschools.org,To support general operations.,5/22/2017,"$200,000",12 months,Education
"New England Foundation for the Arts, Inc.",http://www.nefa.org,To develop a two- to three-year strategic plan.,5/22/2017,"$75,000",12 months,Arts & Creativity
"GreenRoots, Inc.",http://www.greenrootschelsea.org,To support community organizing in East Boston for waterfront and public realm improvements.,5/20/2017,"$300,000",18 months,Special Initiatives
"Chelsea Collaborative, Inc.",http://www.chelseacollab.org,To support its executive leadership transition.,5/17/2017,"$40,000",12 months,Sector Effectiveness
"MAS Boston Society, Inc.",http://isbcc.org/mas-boston,To support expanded civic engagement capacity at the Islamic Society of Boston Cultural Center.,5/ 3/2017,"$75,000",36 months,Special Initiatives
"Social Innovation Forum, Inc.",http://www.socialinnovationforum.org,To support a 2017–2018 social issue track and group training to support immigrant- and refugee-serving organizations.,5/ 3/2017,"$30,000",12 months,Special Initiatives
"Boston Harbor Now, Inc.",http://bostonharbornow.org,To support a comprehensive water transportation plan.,4/25/2017,"$270,000",36 months,Climate
"Community Foundation of Southeastern Massachusetts, Inc.",https://www.cfsema.org,"As part of the Creative Commonwealth initiative, To develop a plan that addresses the obstacles and opportunities to realizing a vibrant arts and culture environment in more communities and neighborhoods in New Bedford and Fall River.",4/25/2017,"$35,000",5 months,Arts & Creativity
Community Foundation of Western Massachusetts,http://communityfoundation.org,"To develop the Regional Arts and Creativity Initiative, with the goal of building a robust creative economy in the Pioneer Valley, as part of the Creative Commonwealth.",4/25/2017,"$35,000",5 months,Arts & Creativity
ConnectEd The California Center for College and Career,http://www.connectedcalifornia.org,To increase the capacity of Boston and Holyoke public schools to design high-quality college and career pathways in underperforming high schools.,4/25/2017,"$300,000",9 months,Education
"Essex County Community Foundation, Inc.",http://www.eccf.org,"To undertake a planning process to broaden awareness of arts and creativity, design a grant and support program for arts organizations, and develop a fundraising plan, as part of the Creative Commonwealth.",4/25/2017,"$35,000",5 months,Arts & Creativity
"Greater Worcester Community Foundation, Inc.",http://www.greaterworcester.org,"To design a grant and technical assistance program to support effective ways of stimulating and supporting arts and creativity in Worcester, as part of the Creative Commonwealth.",4/25/2017,"$34,300",5 months,Arts & Creativity
"Jobs for the Future, Inc.",http://www.jff.org,To plan for a study on successful high schools serving high-needs students.,4/25/2017,"$270,000",6 months,Education
"New Teacher Project, Inc. d/b/a TNTP",https://tntp.org,To support the research and publication of TNTP’s next national report.,4/25/2017,"$300,000",12 months,Education
Regulatory Assistance Project,http://www.raponline.org,To support the Rhode Island Power Sector Transformation Initiative.,4/25/2017,"$125,000",12 months,Climate
"The Berkshire Taconic Community Foundation, Inc.",http://www.berkshiretaconic.org,"To undertake a planning process, as part of the Creative Commonwealth, to determine priorities for its arts and creativity portfolio.",4/25/2017,"$35,000",5 months,Arts & Creativity
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,To support the continued development and implementation of the Massachusetts Personalized Learning Network (MA PLN).,3/29/2017,"$300,000",12 months,Education
EDUCAUSE,http://educause.edu,To support the MASS Learning Project.,3/29/2017,"$300,000",12 months,Education
Grantmakers for Effective Organizations,http://www.geofunders.org,Barr Foundation membership dues,3/29/2017,"$12,000",12 months,Memberships & Sponsorships
"Massachusetts Museum of Contemporary Art Foundation, Inc.",http://massmoca.org,"To activate the flow of visitors between MASS MoCA and downtown through the North Adams Exchange (NAX), a series of installations and pop-ups concurrent with the opening of Building 6.",3/29/2017,"$150,000",12 months,Arts & Creativity
National Council on Teacher Quality,http://www.nctq.org,To support analysis and ratings of Massachusetts teacher preparation programs.,3/29/2017,"$50,000",24 months,Education
"New England Grassroots Environment Fund, Inc.",http://www.grassrootsfund.org,To support the RootSkills Training Series.,3/29/2017,"$5,000",9 months,Memberships & Sponsorships
"New England Women in Energy and the Environment, Inc.",https://www.newiee.org,To support the New England Women in Energy and the Environment’s seventh annual awards gala in Boston.,3/29/2017,"$2,500",12 months,Memberships & Sponsorships
"Newport Public Education Foundation, Inc.",https://www.npsri.net,To support the high school redesign planning process at Rogers High School.,3/29/2017,"$150,000",15 months,Education
"The American Prospect, Inc.",http://www.prospect.org,"To support an article series on transportation, access, and greenhouse gas reduction.",3/29/2017,"$150,000",12 months,Climate
"Center for Investigative Reporting, Inc.",https://www.revealnews.org,To provide core support.,3/27/2017,"$300,000",24 months,Special Initiatives
"Committee to Protect Journalists, Inc.",https://www.cpj.org,To provide core support for activities in the United States.,3/27/2017,"$200,000",24 months,Special Initiatives
"GLBTQ Legal Advocates & Defenders, Inc.",https://www.glad.org,To provide core support.,3/27/2017,"$225,000",36 months,Special Initiatives
Lawyers’ Committee for Civil Rights and Economic Justice,http://lawyerscom.org,To provide legal protection and education for vulnerable communities and to build organizational capacity.,3/27/2017,"$150,000",36 months,Special Initiatives
"Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.",http://www.miracoalition.org,To provide core support.,3/27/2017,"$120,000",36 months,Special Initiatives
"Massachusetts Law Reform Institute, Inc.",http://mlri.org,To provide core support.,3/27/2017,"$180,000",36 months,Special Initiatives
"New England First Amendment Coalition, Inc.",http://nefirstamendment.org,To provide core support.,3/27/2017,"$45,000",36 months,Special Initiatives
Northeastern University,http://www.northeastern.edu,"To conduct a research study on philanthropy and nonprofit news and journalism and dissemination activities, in partnership with the Shorenstein Center.",3/27/2017,"$35,000",6 months,Special Initiatives
"Political Asylum Immigration Representation Project, Inc.",http://www.pairproject.org,To provide core support.,3/27/2017,"$100,000",36 months,Special Initiatives
"Pro Publica, Inc.",https://www.propublica.org,To provide core support.,3/27/2017,"$400,000",36 months,Special Initiatives
The Lenny Zakim Fund,http://www.thelennyzakimfund.org,To provide financial support and technical assistance to grassroots organizations addressing social and economic injustice.,3/27/2017,"$225,000",36 months,Special Initiatives
The Reporters Committee for Freedom of the Press,https://www.rcfp.org,To provide core support.,3/27/2017,"$150,000",36 months,Special Initiatives
Trustees of Boston University,http://www.bu.edu,To support a new investigative reporting unit at WBUR.,3/27/2017,"$300,000",36 months,Special Initiatives
Advanced Energy Economy Institute,https://www.aeeinstitute.org,To align utility business and regulatory models with clean energy advancement.,3/ 8/2017,"$220,000",24 months,Climate
"Alternatives for Community and Environment, Inc.",http://www.ace-ej.org,To organize for improved transit and transit equity.,3/ 8/2017,"$100,000",12 months,Climate
Boston Collegiate Charter School Foundation,http://www.bostoncollegiate.org,To support the “Capacity to Lead” capital campaign.,3/ 8/2017,"$500,000",12 months,Education
"Boston Harbor Now, Inc.",http://bostonharbornow.org,To implement Climate Ready Boston recommendations for climate preparedness in Boston’s waterfront neighborhoods.,3/ 8/2017,"$250,000",24 months,Climate
"Boston Harbor Now, Inc.",http://bostonharbornow.org,To provide core support.,3/ 8/2017,"$400,000",12 months,Special Initiatives
"Citizens’ Housing and Planning Association, Inc",http://www.chapa.org,To support the development of walkable urban places.,3/ 8/2017,"$750,000",24 months,Climate
"Clean Energy Group, Inc.",http://www.cleanegroup.org,To support energy storage deployment in Massachusetts and collaborative efforts in the region.,3/ 8/2017,"$300,000",24 months,Climate
"Conservation Law Foundation, Inc.",http://www.clf.org,To support Transportation for Massachusetts Coalition (T4MA)’s “Transportation for the 21st Century” campaign.,3/ 8/2017,"$4,520,000",24 months,Climate
Innovation Network for Communities,http://www.in4c.net,"To support the Green Ribbon Commission, a convening of Boston's business and civic leaders helping the City achieve its Climate Action Plan goals.",3/ 8/2017,"$1,400,000",24 months,Climate
"Institute for Nonprofit Practice, Inc.",http://www.nonprofitpractice.org,To implement a multi-year growth plan.,3/ 8/2017,"$600,000",36 months,Sector Effectiveness
"Mothers Out Front, Inc.",http://www.mothersoutfront.org,To build a movement of mothers in the region working for clean energy and climate action.,3/ 8/2017,"$200,000",24 months,Climate
"National Center for Civic Innovation, Inc.",https://www.fcny.org/fcny/about/ncci,To provide technical assistance to three cohorts of Barr Foundation grantees as part of the Foundation’s Engage New England: Doing high school differently initiative.,3/ 8/2017,"$4,000,000",36 months,Education
"NECEC Institute, Inc.",http://nececinstitute.org,To expand clean energy in the region by informing policy and regulatory development and strategic communications.,3/ 8/2017,"$450,000",24 months,Climate
"RAR-MA, Inc.",http:// http://www.raisingareaderma.org,To support Raising A Reader in Boston.,3/ 8/2017,"$200,000",24 months,Education
"Springfield Empowerment Zone Partnership, Inc.",,To support the redesign of the High School of Commerce.,3/ 8/2017,"$600,000",36 months,Education
"Teach for America, Inc.",https://www.teachforamerica.org,To provide core support.,3/ 8/2017,"$200,000",24 months,Education
The Energy Foundation,http://www.ef.org,To accelerate the transition to clean energy in the U.S. Northeast.,3/ 8/2017,"$3,000,000",12 months,Climate
Tides Center,https://www.tides.org,"To support the launch of Project Evident, which will develop nonprofit capacity for evidence-gathering, evaluation, and learning.",3/ 8/2017,"$250,000",12 months,Sector Effectiveness
"Toxics Action Center, Inc.",http://www.toxicsaction.org,To engage grassroots groups across New England to inform clean energy policies and programs.,3/ 8/2017,"$325,000",12 months,Climate
"Transcend, Inc.",http://www.transcendeducation.org,To build and share actionable knowledge to inform innovative school models.,3/ 8/2017,"$500,000",24 months,Education
"WalkBoston, Inc.",http://www.walkboston.org,To support local and national walking advocacy.,3/ 8/2017,"$150,000",12 months,Climate
Emerson College,http://www.emerson.edu,To support ArtsEmerson’s conversations in conjunction with A Well-Ordered Nation live-streamed forums.,3/ 1/2017,"$12,000",6 months,Memberships & Sponsorships
Environmental Grantmakers Association,https://ega.org,Barr Foundation membership dues,3/ 1/2017,"$10,000",12 months,Memberships & Sponsorships
Sierra Club Foundation,http://www.sierraclubfoundation.org,To educate the public and policymakers about bold clean energy policies in Boston and Massachusetts.,3/ 1/2017,"$150,000",24 months,Climate
