grantee,grantee_url,description,Award Date,Amount,Term,Program
"Provincetown Art Association, Inc.",http://www.paam.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$187,500",36 months,Arts & Creativity
"Raw Art Works, Inc.",http://www.rawartworks.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$225,000",36 months,Arts & Creativity
"Social Innovation Forum, Inc.",http://www.socialinnovationforum.org,To provide core support.,9/19/2018,"$180,000",34 months,Sector Effectiveness
"Speak Easy Stage, Inc.",http://www.speakeasystage.com,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$187,500",36 months,Arts & Creativity
Technical Development Corporation,http://www.tdcorp.org,To design and implement a learning agenda for the Barr-Klarman Massachusetts Arts Initiative.,9/19/2018,"$645,500",24 months,Arts & Creativity
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To advance transit-oriented development in Gateway Cities.,9/19/2018,"$1,200,000",36 months,Climate
"The Northampton Academy of Music, Inc.",http://www.aomtheatre.com,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$75,000",36 months,Arts & Creativity
"The Record Company, Inc.",http://www.therecordco.org/,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$75,000",36 months,Arts & Creativity
The Woodrow Wilson National Fellowship Foundation,http://www.woodrow.org,To support Woodrow Wilson AcademyÛªs final planning and launch of a new approach to teacher preparation.,9/19/2018,"$500,000",24 months,Education
"University of Massachusetts Foundation, Inc.",https://www.umassp.edu/foundation,To support the Greater Boston Research Advisory Group to produce up-to-date climate projections.,9/19/2018,"$550,000",39 months,Climate
Worcester Art Museum,http://www.worcesterart.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$300,000",36 months,Arts & Creativity
Worcester Public Schools,http://worcesterschools.org/,To deepen understanding of high school studentsÛª experiences in order to develop strategic plans that address student needs and promote postsecondary success.,9/19/2018,"$150,000",12 months,Education
"Zeiterion Theatre, Inc.",http://zeiterion.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$225,000",36 months,Arts & Creativity
"Associated Grant Makers, Inc.",http://www.agmconnect.org,To support the Massachusetts Arts Funders Learning Group.,8/28/2018,"$50,000",24 months,Arts & Creativity
"College Bound Dorchester, Inc.",www.uncornered.org,To support the strategic transition to Boston Uncornered.,8/28/2018,"$75,000",12 months,Education
Commonwealth of Massachusetts Office of the Attorney General,http://www.mass.gov/ago,To support independent analysis of New England’s options for addressing electric reliability.,8/28/2018,"$210,000",12 months,Climate
"Harborlight Community Partners, Inc.",https://www.yimby.town,To support a transit and equity learning track at the 2018 YIMBYtown Conference.,8/28/2018,"$15,000",4 months,Climate
"Innosight Institute, Inc.",https://www.christenseninstitute.org/,"Innosight Institute, Inc.",8/28/2018,"$75,000",12 months,Education
"Massachusetts Parents United, Inc.",www.maparents.org,To support Massachusetts Parents United (MPU) 2nd Annual Convention.,8/28/2018,"$1,000",1 months,Education
"NECEC Institute, Inc.",http://nececinstitute.org,To support the Horizon18 Conference in Boston.,8/28/2018,"$15,000",2 months,Climate
"PEAK Grantmaking, Inc.",http://www.gmnetwork.org,To support PEAK Grantmaking's 2019 conference.,8/28/2018,"$10,000",12 months,Education
"Soledad O'Brien and Brad Raymond Foundation, Inc.",https://powherful.org/,To support the PowHERful Foundation Scholarship Fund.,8/28/2018,"$30,000",12 months,Education
"Third Sector New England, Inc.",http://www.tsne.org,Fiscal sponsor for Building Movement Project. To support 2018 Barr Foundation membership dues.,8/28/2018,"$10,000",12 months,Sector Effectiveness
Triangle Strategic and Financial Advising for Not-for-Profits,,Fiscal sponsor of Kreiva Academy Public Charter School. To support the launch of Kreiva Academy Public Charter School.,8/28/2018,"$200,000",12 months,Education
African Community Education,http://acechildren.org,To provide core support.,8/22/2018,"$80,000",24 months,Special Initiatives
"Boston Alliance of Gay & Lesbian Youth, Inc.",https://www.bagly.org,To support the statewide Alliance of Gay and Lesbian Youth (AGLY) Network.,8/22/2018,"$100,000",24 months,Special Initiatives
Catholic Charities of New Hampshire,https://www.cc-nh.org,To support the Immigration Legal Services program.,8/22/2018,"$100,000",24 months,Special Initiatives
"Catholic Social Services of Fall River, Inc.",https://www.cssdioc.org,To support its Immigration Law Education & Advocacy Project (ILEAP).,8/22/2018,"$80,000",24 months,Special Initiatives
"Centro Comunitario de Trabajadores, Inc.",http://cct-newbedford.org,To provide core support.,8/22/2018,"$60,000",24 months,Special Initiatives
"Community Legal Aid, Inc.",https://www.communitylegal.org,To support its Central West Justice Center program.,8/22/2018,"$100,000",24 months,Special Initiatives
East Boston Ecumenical Community Council,https://ebecc.org,To provide core support.,8/22/2018,"$100,000",24 months,Special Initiatives
"Justice at Work, Inc.",https://jatwork.org,To provide core support.,8/22/2018,"$80,000",24 months,Special Initiatives
"KIND, Inc.",https://supportkind.org,To support New England activities.,8/22/2018,"$100,000",24 months,Special Initiatives
Maine Immigration Advocacy Project,http://www.ilapmaine.org,To provide core support.,8/22/2018,"$100,000",24 months,Special Initiatives
"Maine Initiatives, Inc.",http://maineinitiatives.org,To provide core support.,8/22/2018,"$100,000",24 months,Special Initiatives
"Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.",http://www.miracoalition.org,To support its Berkshire Immigrant Center program.,8/22/2018,"$80,000",24 months,Special Initiatives
"Southeast Asian Coalition of Central Massachusetts, Inc.",http://www.seacma.org/,To support its Civil Rights Program.,8/22/2018,"$80,000",24 months,Special Initiatives
The Community Foundation for Greater New Haven,https://www.cfgnh.org,To support the Immigration Strategic Funders Collaborative of Connecticut.,8/22/2018,"$100,000",24 months,Special Initiatives
"College Bound Dorchester, Inc.",http://www.uncornered.org,To support the strategic transition to Boston Uncornered.,8/16/2018,"$75,000",12 months,
Home Energy Efficiency Team,http://www.heetma.org,To provide general operating support.,7/27/2018,"$150,000",36 months,
Home Energy Efficiency Team,www.heetma.org,To provide general operating support.,7/27/2018,"$150,000",36 months,
"Massachusetts Environmental Education Society, Inc.",http://www.massmees.org,to support the Climate Adaptation Forum organized quarterly by the Environmental Business Council of New England and the University of Massachusetts Boston Ð Sustainable Solutions Lab.,7/27/2018,"$7,500",12 months,
"Massachusetts Environmental Education Society, Inc.",www.massmees.org,To support the Climate Adaptation Forum organized quarterly by the Environmental Business Council of New England and the University of Massachusetts Boston – Sustainable Solutions Lab.,7/27/2018,"$7,500",12 months,Climate
"Massachusetts Parents United, Inc.",http://www.maparents.org,To support Massachusetts Parents United (MPU) 2nd Annual Convention.,7/27/2018,"$1,000",1 months,
"Lawyers Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",http://lawyerscom.org,To support services to reunite immigrant children with their parents.,7/ 9/2018,"$50,000",12 months,
